2025-05-02T11:27:50.208Z | GET / | 401 | 6ms
2025-05-02T11:27:50.585Z | GET /favicon.ico | 401 | 1ms
2025-05-02T11:27:55.882Z | GET / | 401 | 2ms
2025-05-02T11:27:56.280Z | GET /favicon.ico | 401 | 1ms
2025-05-02T11:27:57.481Z | GET / | 401 | 1ms
2025-05-02T11:27:57.956Z | GET /favicon.ico | 401 | 2ms
2025-05-02T11:27:59.176Z | GET / | 401 | 1ms
2025-05-02T11:27:59.565Z | GET /favicon.ico | 401 | 1ms
2025-05-02T11:28:22.874Z | GET /api/v1/abcd/ | 401 | 2ms
2025-05-02T11:28:23.190Z | GET /favicon.ico | 401 | 2ms
2025-05-02T11:28:34.974Z | GET /health | 401 | 1ms
2025-05-02T11:28:35.146Z | GET /favicon.ico | 401 | 1ms
2025-05-02T11:29:32.241Z | GET /health | 500 | 10ms
2025-05-02T11:29:32.413Z | GET /favicon.ico | 500 | 3ms
2025-05-02T11:29:33.738Z | GET /health | 200 | 1ms
2025-05-02T11:29:34.018Z | GET /health | 304 | 1ms
2025-05-02T11:29:34.173Z | GET /health | 304 | 2ms
2025-05-02T11:29:34.399Z | GET /health | 304 | 1ms
2025-05-02T11:29:34.571Z | GET /favicon.ico | 200 | 1ms
2025-05-02T11:29:58.651Z | GET /service1 | 500 | 3ms
2025-05-02T11:29:58.817Z | GET /favicon.ico | 304 | 2ms
2025-05-02T11:30:00.133Z | GET /service1 | 200 | 2ms
2025-05-02T11:30:00.441Z | GET /favicon.ico | 200 | 1ms
2025-05-02T11:30:00.813Z | GET /service1 | 200 | 1ms
2025-05-02T11:30:00.971Z | GET /favicon.ico | 200 | 1ms
